EMOTION: not afraid	CAUSE: tomorrow	SENTENCE: Im not afraid of tomorrow, for I have seen yesterday and I love today #less

EMOTION: None	CAUSE: None	SENTENCE: #Merkel has supported all #Israeli #terror initiatives opposing the #Palestinian bid for membership at the #UN.

EMOTION: gutted	CAUSE: Hannibal has finished	SENTENCE: Gutted that Hannibal has finished,really hope someone pics it up for Fuller to do a 4th season or even a movie,sure @pashley13 would agree

EMOTION: equally dreadful	CAUSE: Rojo'd header	SENTENCE: @1johndes ball watching &amp; Rojo'd header was equally dreadful!!

EMOTION: craving	CAUSE: wt	SENTENCE: @ayushmannk ,,,shud have put kambli in some reality show,,he wud got wt he's craving for right now!   ! ,,,

EMOTION: surprised	CAUSE: learn that in the time after the resurr	SENTENCE: Queer Eye for the Messiah Guy - Many modern Christians may be surprised to learn that in the time after the resurr... http://t.co/voNA0OLpSv

EMOTION: None	CAUSE: None	SENTENCE: @nrocy As in, one can activate TimeMachine within OS X and browse your file history WITHOUT the backup drive connected!

EMOTION: too bad	CAUSE: I can't get to the store until tomorrow	SENTENCE: Got my replacement phone from T-Mobile today. Overnighted it no charge, which is awesome. Too bad I can't get to the store until tomorrow!

EMOTION: None	CAUSE: None	SENTENCE: Caitlyn Jenner may be responsible for the death of Jon Benet Ramsey (and someone else) http://t.co/KxfO3j6snM via @SFGate #LGBT

EMOTION: sad	CAUSE: i cant make gucci's party sat	SENTENCE: "Sad i cant make gucci's party sat, and oskur would have made a friend with his lonely ass."
